"Ph","EC","P","K","Crop_Type","Urea","TSP","MOP","Compost","",""
"4.7","0.13","6.8","118.7","Capsicum","30","81.65","19.33","1666.67","",""
"6.1","0.01","4.9","39.6","Capsicum","30","81.65","19.33","1666.67","",""
"6","0.016","6.9","39.6","Capsicum","30","81.65","19.33","1666.67","",""
"6","0.015","3.6","69.3","Capsicum","30","81.65","19.33","1666.67","",""
"6.3","0.024","17.3","39.6","Capsicum","30","81.65","19.33","1666.67","",""
"5.3","0.057","40","272.3","Capsicum","30","17.15","6.33","1666.67","",""
"5.6","0.074","41.1","148.5","Capsicum","30","17.15","19.33","1666.67","",""
"5.6","0.076","91.3","79.2","Capsicum","30","17.15","19.33","1666.67","",""
"5.6","0.074","76.1","44.6","Capsicum","30","17.15","19.33","1666.67","",""
"5.8","0.131","108.4","108.9","Capsicum","30","17.15","19.33","1666.67","",""
"5.8","0.248","67.5","69.3","Capsicum","30","17.15","19.33","1666.67","",""
"5.9","0.118","74.7","74.3","Capsicum","30","17.15","19.33","1666.67","",""
"5.9","0.096","106.8","168.3","Capsicum","30","17.15","6.33","1666.67","",""
"5.9","0.092","51.1","128.7","Capsicum","30","17.15","19.33","1666.67","",""
"5.8","0.097","115.3","113.9","Capsicum","30","17.15","19.33","1666.67","",""
"6","0.081","111.1","331.7","Capsicum","30","17.15","6.33","1666.67","",""
"5.9","0.149","119.7","153.5","Capsicum","30","17.15","19.33","1666.67","",""
"5.9","0.106","100.9","386.1","Capsicum","30","17.15","6.33","1666.67","",""
"6.1","0.03","24.5","207.9","Capsicum","30","38.65","6.33","1666.67","",""
"6.2","0.055","40.4","74.3","Capsicum","30","17.15","19.33","1666.67","",""
"6.3","0.176","113.2","69.3","Capsicum","30","17.15","19.33","1666.67","",""
"6.4","0.059","98.5","232.7","Capsicum","30","17.15","6.33","1666.67","",""
"6.4","0.099","111.4","331.7","Capsicum","30","17.15","6.33","1666.67","",""
"6.6","0.057","5.1","128.7","Capsicum","30","81.65","19.33","1666.67","",""
"6.4","0.076","6.6","9.9","Capsicum","30","81.65","19.33","1666.67","",""
"6.4","0.056","7.9","9.9","Capsicum","30","81.65","19.33","1666.67","",""
"6.2","0.061","5.2","19.8","Capsicum","30","81.65","19.33","1666.67","",""
"6.1","0.068","6.6","19.8","Capsicum","30","81.65","19.33","1666.67","",""
"5.4","0.11","35.3","78.2","Capsicum","30","17.15","19.33","1666.67","",""
"5.3","0.079","50.8","337.1","Capsicum","30","17.15","6.33","1666.67","",""
"6.1","0.204","48.3","263.7","Capsicum","30","17.15","6.33","1666.67","",""
"5.5","0.006","4.7","231.5","Tomato","19.5","127.17","8.67","1083.33","",""
"5.8","0.01","5.4","221.6","Tomato","19.5","127.17","8.67","1083.33","",""
"6","0.006","1.3","142.9","Tomato","19.5","127.17","21.67","1083.33","",""
"5.9","0.09","28.2","197.1","Tomato","19.5","62.17","8.67","1083.33","",""
"5.6","0.062","114.5","195.7","Tomato","19.5","29.67","8.67","1083.33","",""
"5.5","0.071","26","105.2","Tomato","19.5","62.17","21.67","1083.33","",""
"5.9","0.12","78","325.7","Tomato","19.5","29.67","8.67","1083.33","",""
"6.5","0.037","24.7","45.1","Tomato","19.5","62.17","21.67","1083.33","",""
"5.8","0.209","117.2","240.5","Tomato","19.5","29.67","8.67","1083.33","",""
"5.3","0.205","3.6","205.4","Tomato","19.5","127.17","8.67","1083.33","",""
"6.6","0.118","8.4","224.8","Tomato","19.5","127.17","8.67","1083.33","",""
"5.9","3.34","376.8","1001.7","Tomato","26","32.5","0","0","",""
"6.4","0.087","8.2","141.7","Tomato","19.5","127.17","21.67","1083.33","",""
"5.7","0.103","8.1","200.3","Tomato","19.5","127.17","8.67","1083.33","",""
"4.9","0.031","11.3","59","Tomato","19.5","127.17","21.67","1083.33","",""
"5.3","0.013","0.4","44.8","Tomato","19.5","127.17","21.67","1083.33","",""
"5.5","0.013","3","54.8","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.019","0.2","79.7","Tomato","19.5","127.17","21.67","1083.33","",""
"6.3","0.154","15.9","249.2","Tomato","19.5","127.17","8.67","1083.33","",""
"6.1","0.027","0.7","60.2","Tomato","19.5","127.17","21.67","1083.33","",""
"6","0.03","5.6","88.8","Tomato","19.5","127.17","21.67","1083.33","",""
"6.2","0.046","0.3","128.9","Tomato","19.5","127.17","21.67","1083.33","",""
"7.4","0.068","13.2","44.6","Tomato","19.5","127.17","21.67","1083.33","",""
"7.1","0.082","6.1","413.7","Tomato","26","130","0","0","",""
"6.9","0.086","161.5","353.1","Tomato","19.5","29.67","8.67","1083.33","",""
"6.4","0.075","80.6","263","Tomato","19.5","29.67","8.67","1083.33","",""
"6.5","0.079","4.3","137.2","Tomato","19.5","127.17","21.67","1083.33","",""
"5.8","0.014","8.2","68.6","Tomato","19.5","127.17","21.67","1083.33","",""
"5.4","0.145","25.4","98","Tomato","19.5","62.17","21.67","1083.33","",""
"5.2","0.048","0.2","107.7","Tomato","19.5","127.17","21.67","1083.33","",""
"5","0.039","62.4","111.6","Tomato","19.5","127.17","21.67","1083.33","",""
"5","0.028","5","176","Tomato","19.5","127.17","8.67","1083.33","",""
"5.4","0.043","4.4","249.3","Tomato","19.5","127.17","8.67","1083.33","",""
"5","0.119","82.1","413.7","Tomato","26","32.5","0","0","",""
"5.3","0.114","251.7","930.8","Tomato","26","32.5","0","0","",""
"4.8","0.251","272.3","467.8","Tomato","26","32.5","0","0","",""
"4.8","0.064","284.2","290.6","Tomato","19.5","29.67","8.67","1083.33","",""
"4.7","0.174","253.8","443.2","Tomato","26","32.5","0","0","",""
"4.8","0.076","176.4","182.2","Tomato","19.5","29.67","8.67","1083.33","",""
"4.6","0.095","2.84","214.84","Tomato","19.5","127.17","8.67","1083.33","",""
"5.2","0.051","3.13","117.9","Tomato","19.5","127.17","21.67","1083.33","",""
"4.6","0.054","3.31","170.9","Tomato","19.5","127.17","8.67","1083.33","",""
"4.3","0.101","3.89","151.37","Tomato","19.5","127.17","21.67","1083.33","",""
"4.3","0.11","13.23","195.31","Tomato","19.5","127.17","8.67","1083.33","",""
